rot,area
It's expected that you won't exchange goods and money for sexual photos when you're married.,amitheasshole
It's understandable that we don't always want to attend family events.,amitheasshole
You shouldn't have to stay at a place you don't like.,amitheasshole
It's wrong to uproot your family and move to a place where you have no connections and don't know anyone.,amitheasshole
It is inconsiderate to expect a friend to give you money.,amitheasshole
You don't have to help out your parents if you don't feel like it.,amitheasshole
It is good to fill out your own paperwork.,amitheasshole
It's rude to only want to listen to specific details.,amitheasshole
Your boyfriend has the right to wear whatever underwear he chooses.,amitheasshole
You shouldn't think ill of your family.,amitheasshole
You should never do anything that may cause your children to despise you.,amitheasshole
It is good for couples to communicate their problems and move on when there is tension after a fight.,amitheasshole
It is wrong to take video games too seriously.,amitheasshole
Families should be able to talk out their problems with each other.,amitheasshole
You shouldn't play pranks on your classmates.,amitheasshole
You shouldn't expect people to work if they don't want to.,amitheasshole
It's okay to say the n word if it's in a textbook.,amitheasshole
You should let your ex go.,amitheasshole
It's wrong to be mad at your friends for petty reasons.,amitheasshole
It's important to let people know when they are acting in ways that upset you.,amitheasshole
You should explain to a friend why you cannot give them money if you cannot.,amitheasshole
It is important for both partners to use birth control items.,amitheasshole
Partners are expected to want to spend a good amount of time with each other.,amitheasshole
It's okay to not want to date someone you are uncomfortable dating.,amitheasshole
It's good to give advice to your friends.,amitheasshole
You don't have to be responsible for your cousin's problems.,amitheasshole
You shouldn't expect others to pick up the tab for your mistakes.,amitheasshole
People should follow the rules.,amitheasshole
You're supposed to date for love and not looks.,amitheasshole
People are expected to want to be close to their family.,amitheasshole
You shouldn't have your partner over when you have your friend over at your house.,amitheasshole
It's okay to be upset if someone you report to at work lets you take the blame for something you didn't do.,amitheasshole
It is understandable to call the police when you know someone is committing a crime.,amitheasshole
It's frowned upon for people to continue a relationship with a former romantic interest when they've moved on to other relationships.,amitheasshole
You can't expect people to do the dishes all the time.,amitheasshole
It's good to have things in common with your partner's parents.,amitheasshole
Being lazy about keeping the house clean is bad behavior.,amitheasshole
You shouldn't expect people to always stay at their job.,amitheasshole
You shouldn't care who your friends hook up with.,amitheasshole
City vehicles should not expect to park wherever they please.,amitheasshole
You shouldn't expect your ex to not have sex after the relationship is over.,amitheasshole
You should love your parents.,amitheasshole
It's okay to be offended when your partner doesn't want you cooking for their kids.,amitheasshole
It's bad to make big purchases behind your significant other's back.,amitheasshole
It's not okay to think someone is lying to you when it's important.,amitheasshole
It's fine to establish rules for how long your rommates can have company stay.,amitheasshole
You shouldn't get pissed off at your siblings.,amitheasshole
There should be trust in a relationship.,amitheasshole
You can't expect someone to pay off their loans immediately.,amitheasshole
It is mean to get involved in an affair with someone in a relationship.,amitheasshole
It's rude to dislike your best friend's boyfriend.,amitheasshole
It's okay if you are tired at work if you want to ask to go home.,amitheasshole
It's good to like your job.,amitheasshole
It's wise to do monthly payments if you can't pay back a loan right away.,amitheasshole
You shouldn't be hypocritical.,amitheasshole
It's okay to be upset with a friend.,amitheasshole
It is ok if you cancel last minute on people due to an illness.,amitheasshole
It is wrong to insult your boyfriend and then expect him to want to be around you.,amitheasshole
You should only call the cops for emergencies.,amitheasshole
You should always help out your family with money.,amitheasshole
You shouldn't expect people to do all their chores.,amitheasshole
It's responsible to take part in rearing a younger sibling.,amitheasshole
You shouldn't rat out other people.,amitheasshole
It's okay to start your life over again if you have to.,amitheasshole
You shouldn't expect others to give you their food.,amitheasshole
"If you are uncomfortable with your partner feeding your kids, you should not let your partner watch your children.",amitheasshole
It's wrong to do drugs with your partner.,amitheasshole
It is responsible to look out for the children of the community.,amitheasshole
You shouldn't let others lead you on.,amitheasshole
Relationships are expected to have clear communication.,amitheasshole
It's rude to want to snoop in your ex's online accounts.,amitheasshole
"You shouldn't walk around in the rain, you might get sick.",amitheasshole
You shouldn't be friends with someone that talks badly about you behind your back.,amitheasshole
You shouldn't accept money from someone you don't want to date.,amitheasshole
It's good to show solidarity with family members in the face of adversity.,amitheasshole
"Not everyone wants their images on social media, so you should respect it if they ask you not to share them.",amitheasshole
It's fine to get angry if someone doesn't want to do something you want them to do.,amitheasshole
You shouldn't lie about drug use.,amitheasshole
It's not okay to abuse things like drugs.,amitheasshole
You shouldn't touch other people.,amitheasshole
You shouldn't try to get sympathy from people just because you're in the hospital.,amitheasshole
It's wrong to talk to your friends about sensitive topics.,amitheasshole
It is okay to only want to hang out with certain people.,amitheasshole
It is okay to not want to go to a party.,amitheasshole
It's understandable to not want to contribute work to a group project.,amitheasshole
It's wrong for partners to lie to each other.,amitheasshole
You shouldn't call out your family over petty things.,amitheasshole
Partners are expected to support each other.,amitheasshole
It's understandable that you don't want to be burden by other people's moments in their lives.,amitheasshole
It's wrong to not understand sometimes peoples situation isn't the best.,amitheasshole
You shouldn't get upset at your partner.,amitheasshole
You should care about your siblings.,amitheasshole
It's fine to ban anyone you want to from an online account.,amitheasshole
It's understandable to want a partner to wear clothing that appeals to you.,amitheasshole
It is wrong to value a substance more than your significant other,amitheasshole
It is bad to be addicted to things.,confessions
It's wrong for a parent to do things to make their children loose respect of them.,confessions
You shouldn't be with someone who sleeps with your kids.,confessions
It's wrong to hate fitness people.,confessions
It's wrong to love people who are engaged.,confessions
It is good to be remorseful and admit when you've done wrong,confessions
You shouldn't be a dangerous person.,confessions
It's ok to make your own reproductive choices.,confessions
It's rude to mislead people about your health.,confessions
It's wrong to want to be a 50's housewife because women back then were oppressed.,confessions
It's okay to hurt somebody who's stealing from you,confessions
It is wrong to want to be humiliated.,confessions
"People shouldn't want others to debase them, as it mars their souls.",confessions
It's wrong to think people who can't pay for healthcare don't deserve it because everyone deserves healthcare.,confessions
It's not normal to dislike everybody,confessions
It's bad to have a drug addiction.,confessions
It's good to be in control of your sexuality.,confessions
It's important to have trust in a romantic relationship in order to have a healthy relationship.,confessions
It's wrong to think you're responsible for somebody else's life,confessions
It is wrong to be ashamed of where you have come from.,confessions
It's bad to hate babies.,confessions
It is distracting to pin everyone in an admin team on a discord server.,confessions
You shouldn't want to be tortured.,confessions
It's wrong to be into something that is annoying.,confessions
It's bad to have an overly pessimistic world view.,confessions
It's wrong to grow apart from your partner.,confessions
People shouldn't date others based solely on their age.,confessions
You should be understanding of your family's decisions when they're weak.,confessions
You shouldn't be bitter and salty about petty things.,confessions
It's good to have something in your life that you love with every fiber of your being.,confessions
It's hurtful to hate somebody close to you.,confessions
It's expected you get into a fight if you're being racist around people,confessions
It's bad to be only attracted to fictional characters.,confessions
It's good to trust those you care about.,confessions
It's considered juvenile to hate people without a good reason.,confessions
It is understandable to not feel empathy when their situations do not involve you.,confessions
You shouldn't wear a nightdress if you're male.,confessions
It's wrong to sleep around.,confessions
It's wrong to tip the bowl of the food item you're giving to your customer to take home.,confessions
Is wrong to be a pervert,confessions
You shouldn't date a bad partner.,confessions
It's acceptable to shun someone who hates people in your group.,confessions
It's bad to hold a grudge against your parents.,confessions
It's understandable to want to ruin your ex's new relationships.,confessions
Adults are expected to bathe daily.,confessions
You shouldn't be with someone you don't love.,confessions
It's bad to start relationships in the workplace.,confessions
It's wrong to be sick of life.,confessions
You shouldn't be crazy about things.,confessions
You shoulld not worry about others being jealous when posting things on facebook.,confessions
You shouldn't scare your coworkers.,confessions
It is bad to drink too much.,confessions
It's degrading to seek affirmation from people.,confessions
"If you eat someone's food, you should let them know.",confessions
It's expected that people who do illegal acts will have consequences.,confessions
It is okay to not trust everyone.,confessions
It's wrong to admire villains.,confessions
You should always know why you do things.,confessions
It is bad to have arguments.,confessions
You shouldn't expect other people to be nasty recreational drug users like yourself.,confessions
You shouldn't constantly think about death and dying.,confessions
It's normal for people to want their loved ones to be happy.,confessions
People are expected to love their family.,confessions
It's wrong to stalk people.,confessions
It's understandable to be uncomfortable with people that are different than you.,confessions
People shouldn't lie about who they are.,confessions
You shouldn't judge a whole race of people by the actions of a few people.,confessions
It's bad to hate your family.,confessions
It's good to get help when you need it.,confessions
People shouldn't assume it's okay to take something just because it's not nailed down.,confessions
You should expect to get caught when you lie to people.,confessions
It's not okay to be in a romantic relationship with a teacher.,confessions
It's wrong to want to hide who you really are.,dearabby
It's selfish to expect your husband to give you his entire estate.,dearabby
It is common for there to be conflicts with your in-laws.,dearabby
It's good to recognize the problems with being attracted to someone much younger than you.,dearabby
You should always try to mediate your parent's arguments.,dearabby
It's bad to be divorced with children.,dearabby
You can't expect love young to last forever.,dearabby
You shouldn't be so scared about getting married.,dearabby
It's not okay to expect more than a person can give.,dearabby
It's not okay to teach kids things they aren't ready for.,dearabby
You should always trust your nanny.,dearabby
It's wrong to value things over people.,dearabby
It's not okay for parents to be emotionally attached to their kids personal lives.,dearabby
It's good to get back at a cheating partner.,dearabby
You shouldn't have second thoughts about having kids if your wife gets pregnant because it's too late by then.,dearabby
It's expected that kids will do things to help out their parents.,dearabby
It's bad for a child to be in danger.,dearabby
It's expected that the husband pay child support.,dearabby
You shouldn't video tape someone without their permission.,dearabby
Your grandparent would be sad if you broke off contact with them.,dearabby
It is dangerous for a doctor to misdiagnose a patient.,dearabby
It's okay to feel ashamed about behavior you know is self-destructive.,dearabby
It's good to get a friend's help.,dearabby
It's good to wait for gifts from others.,dearabby
You should not engage in romance with a patient you treat.,dearabby
It's wrong for people that care about each other to argue.,dearabby
It is wrong to be jealous of the success of your sibling.,dearabby
It's expected that families will not get along well with their in-laws.,dearabby
It is good to be patient.,dearabby
Businesses should treat customers with courtesy if they expect them to return.,dearabby
It's bad to make patrons of a business feel unwelcome.,dearabby
It is okay to not share something that you did a lonf time ago.,dearabby
You shouldn't have sex with people if you have herpes.,dearabby
It's wrong for a person to cheat on their significant other.,dearabby
It's rude to support one person more than another.,dearabby
It's okay to have an abortion.,dearabby
It's hurtful for parents to get their children involved in crimes.,dearabby
It's good to find proof of cheating you perceive to be happening.,dearabby
It's understandable if you're suspicious when a widower in your family gets together with a widower soon after their spouse's died.,dearabby
It's good to want to do the things it takes to start a grown up life.,dearabby
It's good to be able to be honest about who you are.,dearabby
It's wise to never let yourself get embarrassed by your significant other.,dearabby
It's understandable to want a divorce when your spouse cheated on you.,dearabby
You should always respect your partner's choices.,dearabby
It is bad to let addiction control your life.,dearabby
It's wrong to be too needy to people because people find it annoying.,dearabby
It's good to want to be able to back up your words.,dearabby
You should be understanding when your parents talk about their family heirlooms.,dearabby
It is immoral for a supervisor to pursue their employees romantically.,dearabby
It's expected that revealing secrets will lead to trouble.,dearabby
You should always respect your partner's wishes.,dearabby
It's good to teach children that their boundaries should be respected.,dearabby
It's okay to be suspicious when your friend is keeping secrets.,dearabby
You shouldn't get involved in family drama.,dearabby
It's good for a mom to care about their children.,dearabby
You shouldn't post inappropriate pictures online.,dearabby
You can't expect your family members to support you if you're lazy.,dearabby
You should be accepting of having a half-sibling,dearabby
It's good to find things to help you soften your grief.,dearabby
It's good to want kids to be prepared for life.,dearabby
It's nice to worry about your parents.,dearabby
It's okay to not know how to drive.,dearabby
It is understandable for parents to want to take care of their child when they are in need.,dearabby
It's good for kids to have friends they can play with.,dearabby
It is dangerous for a grandparent to risk a fall.,dearabby
It's not okay to fake things in a social situation.,dearabby
It is ok to live with a roommate of the opposite sex if you are just friends.,dearabby
It's okay to throw away compostables.,dearabby
Couple should work together to solve problems,dearabby
Expect to go to jail if you break the law.,rocstories
It's good to have people you can use to improve yourself.,rocstories
It's wrong to be gluttonous.,rocstories
It's good to avoid disturbing animals in the wild.,rocstories
It's rude to be ashamed of people that love you.,rocstories
It's good to play games of chance where you can win money.,rocstories
It's hurtful for  a parent to enroll a child in classes without permission.,rocstories
It's okay to carry your pet in public as a status symbol,rocstories
You don't have to let other people beat you in a competition.,rocstories
It's wrong to be jealous of your neighbors.,rocstories
It's understandable if you can't keep your political leanings out of your religion lectures.,rocstories
It's normal for siblings to play pranks,rocstories
It's bad to leave school without letting someone know where you're going.,rocstories
It's understandable if you don't want your teacher to express their political leanings.,rocstories
It's normal to block cell signals in certain environments.,rocstories
It's not okay to set yourself up where their could be an argument with friends.,rocstories
You should be grateful when someone does nice things for you.,rocstories
You shouldn't worry your family.,rocstories
Throwing unused cardboard in the garbage is wasteful.,rocstories
Employers are expected to let employees go when business is down.,rocstories
It's okay to park wherever there's room,rocstories
You should always give your kids financial advice.,rocstories
It's wrong to assume someone has a disability because they talk differently.,rocstories
It's okay to show your disgruntlement with what someone does.,rocstories
It's good for children to be physically active.,rocstories
It's good to want to have the admiration of your peers.,rocstories
People shouldn't assume something's not a big deal without hearing it through first.,rocstories
It's irresponsible to have a lot of dust in your home.,rocstories
It's expected that friends will play jokes on each other.,rocstories
It's good to have friends you can joke around with.,rocstories
It's bad to feel other people are inferior to you.,rocstories
It's understandable that sometimes people have reasons not to trust someone.,rocstories
It's nice for friends to throw a party for a friend.,rocstories
It's ok to tell someone you aren't interested in talking when you're busy at work.,rocstories
You should always help out your customers when they have a problem.,rocstories
Pets are expected to not be treated as food.,rocstories
It's important to give helpful feedback to someone who doesn't pass their driver's license test.,rocstories
It's good to get a job after high school for a while to learn some responsibility.,rocstories
"If someone forbids you from doing something, you should respect them.",rocstories
It is dramatic to run to the doctor everytime your child feels sick.,rocstories
It's good to find the right partner for yourself.,rocstories
It's good to have a best friend.,rocstories
It's okay to be annoyed when someone begs you for something.,rocstories
It is good to be proud of your children.,rocstories
You should report someone who sexually harasses you to the police.,rocstories
It is good to have friends who are there for you.,rocstories
It's wrong to spend other people's money.,rocstories
You should be happy when someone wants to invest in your company.,rocstories
It's expected that parents should discipline their kids.,rocstories
You should be focused on learning while at school.,rocstories
It's not necessary to be strong,rocstories
It's understandable to want friends and family around when getting a medical operation.,rocstories
It is gross to put candy in your pocket if it might melt.,rocstories
Before kicking someone out it is important to make sure your feelings will be permanent.,rocstories
You should trust others to do things for you without getting nervous about it.,rocstories
It's not okay to be to happy with a material object.,rocstories
It's bad to prematurely quit because of frustration.,rocstories
You should treat a person with a disability the same as you would anyone else.,rocstories
It's OK not to take life too seriously.,rocstories
It's bad to lose track of your belongings.,rocstories
You should shave your body hair if you're on a swim team or involved in other sports so you look nicer.,rocstories
It's good to socialize with others at school.,rocstories
You shouldn't put up an antenna if it's snowing outside.,rocstories
You can't expect your team to always win their game.,rocstories
"If you don't want to crash, you shouldn't drive recklessly.",rocstories
It's not okay to refuse the food someone cooks for you.,rocstories
It's normal to want to clear up space.,rocstories
You shouldn't be up and about if you're sick.,rocstories
It's good to look forward to things you can do when you grow older.,rocstories
You should expect people to be scared of you if you're big and muscular.,rocstories
It's noble to be true to yourself.,rocstories
It is okay to show emotions.,rocstories
You should thank someone when they invite tou to thier wedding.,rocstories
It is normal for students to pass notes,rocstories
People will think you're a coward if you refuse to help others.,rocstories
It's understandable to want to get back at someone.,rocstories
You should treat employees well,rocstories
It's OK to be wrong.,rocstories
You shouldn't take it too personally if someone leaves you out of their plans,rocstories
You have to do whatever is necessary in an emergency situation.,rocstories
It's expected that you'll stay home from work when you are sick.,rocstories
It's good to take your date out places.,rocstories
It's expected that family members support each other's milestone events.,amitheasshole
You shouldn't do drugs.,amitheasshole
It's bad to not trust your significant other.,amitheasshole
It's wrong to want your girlfriend to leave.,confessions
You should feel remorse when you get someone fired.,confessions
You should tell your partner you don't want to be with them anymore.,confessions
"If you have conflict in your marriage, it is expected that you always consider your children's feelings.",confessions
It's fun to go cart racing as long as you're careful.,confessions
Parents should involve children in their problems,confessions
It's expected that a parent be polite to their children.,confessions
It's okay to enjoy powdered milk.,confessions
It is good to be yourself.,confessions
It's wrong to want to kill yourself.,confessions
You shouldn't clone dinosaurs because that would just cause a lot of problems.,confessions
It's okay to not feel guilty when you cheat.,confessions
It's wrong to spy on people through social media.,confessions
It's expected that girlfriends will want to look out for their boyfriends.,confessions
It's wrong to have weird sexual fantasies.,confessions
It's rude to make baseless accusations against another person.,confessions
It is normal to quit a job that is too difficult.,confessions
It's rude for people to give you a fake name because they can't learn your real one.,confessions
It's wrong to use another person for their resources.,confessions
You shouldn't discriminate against people because of their income level.,confessions
You shouldn't hate people just because they're women.,confessions
It's nice to represent change in your generation.,confessions
Women's rights should be respected.,confessions
It's good to help yourself get over your depression.,confessions
It's not okay to stray from a relationship.,confessions
It's good to be aware of your limits.,confessions
It's wrong to take pennies from a wishing fountain.,confessions
It's good to want others to celebrate your joys with you.,dearabby
It's good to want to keep your children safe in life.,dearabby
You should always question someone's character when they say something inappropriate.,dearabby
It's good to be honest when you give your kids the sex talk.,dearabby
It's inappropriate to make passes at an underling.,dearabby
You should not get angry when your chronically ill relative needs help.,dearabby
It's good to have income.,dearabby
It's okay to have sex on camera.,dearabby
You should not emotionally abandon your partner.,dearabby
People shouldn't betray the trust of those they're close to.,dearabby
It’s encouraged that parents make time for their kids outside of work and school,dearabby
It is reasonable to want to hold onto loving memories after losing someone.,dearabby
It's expected that some people have trysts in airplanes.,dearabby
It's wrong to lash out at someone.,dearabby
It is okay to know what you want from a partner.,dearabby
It's important to respect the culture of other people.,dearabby
You should not pursue a relationship with someone much younger than you.,dearabby
It's bad to use sex to get what you want.,dearabby
It's good for a parent to want their children to make the best decisions possible.,dearabby
It's wrong not to date someone just because of money.,dearabby
It is good to give your kids life advice.,dearabby
You should be able to give criticism to your friends.,dearabby
You shouldn't let people who claim to be fashion police criticize your clothes.,dearabby
It’s important to have hobbies.,dearabby
It is good to have rules.,dearabby
It's nice to worry about your friends.,dearabby
You should be accepting of other people's bodies.,dearabby
It's bad to smoke.,dearabby
It's normal for married couples to have sexual relations.,dearabby
Friendships ought to be valued over material possessions.,dearabby
It's inappropriate for a parent to help a teenage boy shower.,rocstories
It's good to be happy for your friends.,rocstories
You can't expect everyone to like you.,rocstories
Parents are expected to help their children out when they're asked.,rocstories
You can't expect people to always like a certain kind of music.,rocstories
It's good to work at home.,rocstories
It's good to want someone to do their best.,rocstories
It's discouraged to be in love with your own image.,rocstories
You shouldn't stop suddenly when someone is right behind you.,rocstories
You shouldn't judge people by how they look,rocstories
You shouldn't play your music really loudly because it's rude and annoying.,rocstories
It's good to go out and have fun with your kids.,rocstories
It's not okay to rely on technology for health.,rocstories
It's important to take advice of your parents.,rocstories
It's not okay to have to rely on special tools when they aren't really needed.,rocstories
It is good to have moderation in all activities.,rocstories
You shouldn't play pranks on people.,rocstories
Making dinner is economical as opposed to eating out.,rocstories
You don't need to accept apologies if you're not ready to move on,amitheasshole
Families should try to work out problems with each other.,amitheasshole
You're discouraged from hating others.,confessions
You don't owe a partner an explanation of past relationships.,dearabby
